owner	field	offset	size	datatype	header	decision	named_c_uses	reviewed_family	resource_observation	rationale	remaining_evidence	storage_origin	disk_source	transport_paths	alias_audit
KfGraphicsRuntimeOpen	unknown_2011c	0x2011c	0x4	u8[4]	include/kf/open_render.h:80	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [KfTmdStateOpen tmd_state] and [KfPackedSVector *current_tmd_vertices] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for these graphics-owner intervals	OPEN opening_run clears the complete 0x24788-byte graphics owner; render/asset/projection routines use nested objects and interior pointers; the clear does not identify the opaque intervals	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfGraphicsRuntimeOpen	unknown_20124	0x20124	0x14	u8[20]	include/kf/open_render.h:82	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [KfPackedSVector *current_tmd_vertices] and [KfScreenVertex tmd_projected_vertices[KF_PROJECTED_VERTEX_CAPACITY]] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for these graphics-owner intervals	OPEN opening_run clears the complete 0x24788-byte graphics owner; render/asset/projection routines use nested objects and interior pointers; the clear does not identify the opaque intervals	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfGraphicsRuntimeOpen	unknown_22078	0x22078	0x1f68	u8[8040]	include/kf/open_render.h:84	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [KfScreenVertex tmd_projected_vertices[KF_PROJECTED_VERTEX_CAPACITY]] and [KfFloorItemStateOpen floor_item_state] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for these graphics-owner intervals	OPEN opening_run clears the complete 0x24788-byte graphics owner; render/asset/projection routines use nested objects and interior pointers; the clear does not identify the opaque intervals	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfGraphicsRuntimeOpen	unknown_24786	0x24786	0x2	u8[2]	include/kf/open_render.h:92	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [s16 tmd_projection_shift] and [} KfGraphicsRuntimeOpen] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for these graphics-owner intervals	OPEN opening_run clears the complete 0x24788-byte graphics owner; render/asset/projection routines use nested objects and interior pointers; the clear does not identify the opaque intervals	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfHudSprite	unknown_01	0x1	0x1	u8	include/kf/game_render.h:91	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	GAME.EXE:hud_sprites (retail initializer VA 0x80055c5c; offsets relative to this datum; n=14; 00:14)	Extent between [KfSpriteState state] and [KfSpriteQuad sprite] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	executable_load_image	GAME hud_sprites initialized data table	Linked initializer provides this byte; render_hud_gauges/render_frame traverse descriptor rows and pass the nested sprite to render_enqueue_sprite; passing the nested sprite does not itself read the preceding unknown byte	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfMagicRecord	unknown_12	0x12	0x2	u8[2]	include/kf/magic.h:74	retain_unresolved	none in 101 configured translation variants	GAME magic_load_records	KF/COM/COM.DAT (complete chunk 4 payload; n=24; 0000:24)	Extent between [u16 mp_cost] and [} KfMagicRecord] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	disc_resource	COM/COM.DAT chunk 4; 24 records of 0x14 bytes	GAME common_resources_load -> magic_load_records copies 0x1e0 bytes through u32 word views, including this field; save code transports learned flags separately	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfMapEvent	unknown_0c	0xc	0x1	u8	include/kf/game_map.h:427	retain_unresolved	GAME.EXE:map_event_pool_load	GAME resource/event loaders;current_event behavior/render helpers;dialogue stage writers;persist/restore;save I/O;render cache owner_slot/release; raw fixed-base/interior-pointer audit	no independent serialized-field value census	Receives definition +0x0b. Stage-10 out-of-range dialogue indexing is a concrete alias, not proof that this field was intended as a dialogue-page entry; no intended behavioral role established.	Intended meaning remains unknown despite proven disc/runtime transport. Four indexed dialogue accesses can alias these bytes with unchecked saved stages 10/11; candidate floor-switch CFG successors, GP bases and uninventoried pointer paths are not closed.	disc_to_runtime_copy	B1..B5/MIXA.DAT chunk 7, definition +0x0b	GAME definition+0x0b lbu 0x8003397c -> runtime+0x0c sb 0x80033984. No direct dedicated saved byte; stage-10 last_page indexing can read it or overwrite it during restoration. Complete event-owner startup clear also covers it.	Raw stage indexing computes event+stage+2: reads GAME 0x80034d04/0x80035a34/0x80035be4 and store 0x80035ef0 reach +0x0c/+0x0d at stages 10/11. Authored limits <=5; saved stages are unchecked and refresh does not repair excessive stages. Render owner_slot chain clears only event+0x3c..0x3f; unaligned page-copy value lanes exclude definition+0x0b. Candidate floor-switch successors and GP/uninventoried aliases remain open. See docs/patterns/unknown-field-alias-audit.md.
KfMapEvent	unknown_0d	0xd	0x1	u8	include/kf/game_map.h:428	retain_unresolved	GAME.EXE:map_event_pool_load;GAME.EXE:map_restore_floor_state;GAME.EXE:map_world_state_persist	GAME resource/event loaders;current_event behavior/render helpers;dialogue stage writers;persist/restore;save I/O;render cache owner_slot/release; raw fixed-base/interior-pointer audit	no independent serialized-field value census	Receives definition +0x0c and is persisted/restored byte-for-byte. Stage-11 indexing can read the same byte into the last-page save position too; neither duplication nor transport identifies intended meaning.	Intended meaning remains unknown despite proven disc/runtime transport. Four indexed dialogue accesses can alias these bytes with unchecked saved stages 10/11; candidate floor-switch CFG successors, GP bases and uninventoried pointer paths are not closed.	disc_to_runtime_and_saved_world	B1..B5/MIXA.DAT chunk 7, definition +0x0c; also game-specific saved-world bytes	GAME definition+0x0c lbu 0x80033988 -> runtime+0x0d sb 0x80033990; persist lbu 0x80035bfc -> saved record+6 sb 0x80035c08; restore sb 0x80035f10. Stage-11 indexed restore at 0x80035ef0 writes this byte first, then the dedicated restore overwrites it.	Raw stage indexing computes event+stage+2: reads GAME 0x80034d04/0x80035a34/0x80035be4 and store 0x80035ef0 reach +0x0c/+0x0d at stages 10/11. Authored limits <=5; saved stages are unchecked and refresh does not repair excessive stages. Render owner_slot chain clears only event+0x3c..0x3f; unaligned page-copy value lanes exclude definition+0x0b. Candidate floor-switch successors and GP/uninventoried aliases remain open. See docs/patterns/unknown-field-alias-audit.md.
KfMapEvent	unknown_11	0x11	0x1	u8	include/kf/game_map.h:432	retain_unresolved	none in 101 configured translation variants	GAME event loader;current_event/render/behavior helpers;dialogue stage writers;map_world_state_persist;map_restore_floor_state;save_file_read_slot; raw indexed-byte alias audit	no independent serialized-field value census	Extent between [KfMapEventCollisionTurn collision_turn_pending] and [u16 animation_phase] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding. Unchecked restored stage 15 can address byte(s) +0x11 through last_page indexing; an out-of-range access does not establish an intended role or padding.	Recover intended initialization/behavior or authoritative ownership. Conditional byte alias is established from effective-address arithmetic; normal-gameplay reachability, GP/uninventoried aliases and candidate floor-switch successors are not closed.	runtime_expansion	No direct event-definition byte mapping established for this range. Enclosing owner expands B1..B5/MIXA.DAT chunk 7; unchecked saved stage can select this runtime byte through indexed last-page restoration.	Whole event-owner startup clear includes this range. GAME map_world_state_persist reads one indexed byte into saved last-page storage; map_restore_floor_state restores one byte at event+stage+2, selecting +0x11 for stage 15. No dedicated serialized field mapping proved.	GAME event+stage+2 byte reads at 0x80034d04/0x80035a34/0x80035be4 and byte store at 0x80035ef0 select +0x11 with unchecked saved stage 15. This is a conditional one-byte alias, not a whole-u16 access or intended dialogue entry. Larger stages can leave the 68-byte record; no bounds closure claimed. See docs/patterns/unknown-field-alias-audit.md.
KfMapEvent	unknown_22	0x22	0x2	u16	include/kf/game_map.h:439	retain_unresolved	none in 101 configured translation variants	GAME event loader;current_event/render/behavior helpers;dialogue stage writers;map_world_state_persist;map_restore_floor_state;save_file_read_slot; raw indexed-byte alias audit	no independent serialized-field value census	Extent between [u16 radius] and [VECTOR reference_position] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding. Unchecked restored stage 32/33 can address byte(s) +0x22/+0x23 through last_page indexing; an out-of-range access does not establish an intended role or padding.	Recover intended initialization/behavior or authoritative ownership. Conditional byte alias is established from effective-address arithmetic; normal-gameplay reachability, GP/uninventoried aliases and candidate floor-switch successors are not closed.	runtime_expansion	No direct event-definition byte mapping established for this range. Enclosing owner expands B1..B5/MIXA.DAT chunk 7; unchecked saved stage can select this runtime byte through indexed last-page restoration.	Whole event-owner startup clear includes this range. GAME map_world_state_persist reads one indexed byte into saved last-page storage; map_restore_floor_state restores one byte at event+stage+2, selecting +0x22/+0x23 for stage 32/33. No dedicated serialized field mapping proved.	GAME event+stage+2 byte reads at 0x80034d04/0x80035a34/0x80035be4 and byte store at 0x80035ef0 select +0x22/+0x23 with unchecked saved stage 32/33. This is a conditional one-byte alias, not a whole-u16 access or intended dialogue entry. Larger stages can leave the 68-byte record; no bounds closure claimed. See docs/patterns/unknown-field-alias-audit.md.
KfMapEvent	unknown_42	0x42	0x2	u16	include/kf/game_map.h:444	retain_unresolved	none in 101 configured translation variants	GAME event loader;current_event/render/behavior helpers;dialogue stage writers;map_world_state_persist;map_restore_floor_state;save_file_read_slot; raw indexed-byte alias audit	no independent serialized-field value census	Extent between [s16 rotation_target] and [} KfMapEvent] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding. Unchecked restored stage 64/65 can address byte(s) +0x42/+0x43 through last_page indexing; an out-of-range access does not establish an intended role or padding.	Recover intended initialization/behavior or authoritative ownership. Conditional byte alias is established from effective-address arithmetic; normal-gameplay reachability, GP/uninventoried aliases and candidate floor-switch successors are not closed.	runtime_expansion	No direct event-definition byte mapping established for this range. Enclosing owner expands B1..B5/MIXA.DAT chunk 7; unchecked saved stage can select this runtime byte through indexed last-page restoration.	Whole event-owner startup clear includes this range. GAME map_world_state_persist reads one indexed byte into saved last-page storage; map_restore_floor_state restores one byte at event+stage+2, selecting +0x42/+0x43 for stage 64/65. No dedicated serialized field mapping proved.	GAME event+stage+2 byte reads at 0x80034d04/0x80035a34/0x80035be4 and byte store at 0x80035ef0 select +0x42/+0x43 with unchecked saved stage 64/65. This is a conditional one-byte alias, not a whole-u16 access or intended dialogue entry. Larger stages can leave the 68-byte record; no bounds closure claimed. See docs/patterns/unknown-field-alias-audit.md.
KfMapEventDefinition	unknown_0b	0xb	0x1	u8	include/kf/game_map.h:398	retain_unresolved	GAME.EXE:map_event_pool_load	GAME resource/event loaders;current_event behavior/render helpers;dialogue stage writers;persist/restore;save I/O;render cache owner_slot/release; raw fixed-base/interior-pointer audit	KF/B1/MIXA.DAT (all eight source rows, including inactive states; n=8; 00:8); KF/B2/MIXA.DAT (all eight source rows, including inactive states; n=8; 00:8); KF/B3/MIXA.DAT (all eight source rows, including inactive states; n=8; 00:8); KF/B4/MIXA.DAT (all eight source rows, including inactive states; n=8; 00:8); KF/B5/MIXA.DAT (all eight source rows, including inactive states; n=8; 00:8)	Copied into runtime event +0c; zero resources and copy transport do not identify gameplay meaning.	Intended meaning remains unknown despite proven disc/runtime transport. Four indexed dialogue accesses can alias these bytes with unchecked saved stages 10/11; candidate floor-switch CFG successors, GP bases and uninventoried pointer paths are not closed.	disc_resource	B1..B5/MIXA.DAT chunk 7; eight 0x18-byte source rows per floor	MIXA chunk cast -> event loader: GAME lbu 0x8003397c at definition+0x0b -> sb 0x80033984 at runtime+0x0c. Adjacent LWL/LWR page copy produces source bytes +5..+8 plus separate +9 and does not consume +0x0b.	Raw stage indexing computes event+stage+2: reads GAME 0x80034d04/0x80035a34/0x80035be4 and store 0x80035ef0 reach +0x0c/+0x0d at stages 10/11. Authored limits <=5; saved stages are unchecked and refresh does not repair excessive stages. Render owner_slot chain clears only event+0x3c..0x3f; unaligned page-copy value lanes exclude definition+0x0b. Candidate floor-switch successors and GP/uninventoried aliases remain open. See docs/patterns/unknown-field-alias-audit.md.
KfMapEventDefinition	unknown_0c	0xc	0x1	u8	include/kf/game_map.h:399	retain_unresolved	GAME.EXE:map_event_pool_load	GAME resource/event loaders;current_event behavior/render helpers;dialogue stage writers;persist/restore;save I/O;render cache owner_slot/release; raw fixed-base/interior-pointer audit	KF/B1/MIXA.DAT (all eight source rows, including inactive states; n=8; 00:8); KF/B2/MIXA.DAT (all eight source rows, including inactive states; n=8; 00:8); KF/B3/MIXA.DAT (all eight source rows, including inactive states; n=8; 00:8); KF/B4/MIXA.DAT (all eight source rows, including inactive states; n=8; 00:8); KF/B5/MIXA.DAT (all eight source rows, including inactive states; n=8; 00:8)	Copied into runtime event +0d, which is saved/restored; persistence is not a behavioral interpretation.	Intended meaning remains unknown despite proven disc/runtime transport. Four indexed dialogue accesses can alias these bytes with unchecked saved stages 10/11; candidate floor-switch CFG successors, GP bases and uninventoried pointer paths are not closed.	disc_resource	B1..B5/MIXA.DAT chunk 7; eight 0x18-byte source rows per floor	MIXA chunk cast -> event loader: GAME lbu 0x80033988 at definition+0x0c -> sb 0x80033990 at runtime+0x0d; destination is also directly persisted/restored through seven-byte saved event records.	Raw stage indexing computes event+stage+2: reads GAME 0x80034d04/0x80035a34/0x80035be4 and store 0x80035ef0 reach +0x0c/+0x0d at stages 10/11. Authored limits <=5; saved stages are unchecked and refresh does not repair excessive stages. Render owner_slot chain clears only event+0x3c..0x3f; unaligned page-copy value lanes exclude definition+0x0b. Candidate floor-switch successors and GP/uninventoried aliases remain open. See docs/patterns/unknown-field-alias-audit.md.
KfMapEventDefinition	unknown_16	0x16	0x2	u16	include/kf/game_map.h:405	retain_unresolved	none in 101 configured translation variants	GAME map_event_pool_load;map_event_pool_update	KF/B1/MIXA.DAT (all eight source rows, including inactive states; n=8; 0000:8); KF/B2/MIXA.DAT (all eight source rows, including inactive states; n=8; 0000:8); KF/B3/MIXA.DAT (all eight source rows, including inactive states; n=8; 0000:8); KF/B4/MIXA.DAT (all eight source rows, including inactive states; n=8; 0000:8); KF/B5/MIXA.DAT (all eight source rows, including inactive states; n=8; 0000:8)	Extent between [u16 radius] and [} KfMapEventDefinition] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	disc_resource	B1..B5/MIXA.DAT chunk 7; eight 0x18-byte source rows per floor	GAME map_resources_load passes a cast chunk payload to map_event_pool_load; field-specific destination mapping is recorded below	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfMapObject	unknown_01	0x1	0x1	u8	include/kf/game_map.h:277	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [KfObjectId object_id] and [u16 cell_x] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_expansion	No direct serialized-field mapping established for these gaps; enclosing objects expand MIXA placements	GAME map_object_pool_load expands selected placement fields and copies the known eight-byte link through u32 views; persisted object fields do not establish a mapping for these gaps	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfMapObject	unknown_06	0x6	0x2	u8[2]	include/kf/game_map.h:280	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [u16 cell_z] and [VECTOR position] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_expansion	No direct serialized-field mapping established for these gaps; enclosing objects expand MIXA placements	GAME map_object_pool_load expands selected placement fields and copies the known eight-byte link through u32 views; persisted object fields do not establish a mapping for these gaps	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfMapObject	unknown_29	0x29	0x1	u8	include/kf/game_map.h:285	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [KfMapObjectOperation action] and [KfMapObjectProgress action_timer] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_expansion	No direct serialized-field mapping established for these gaps; enclosing objects expand MIXA placements	GAME map_object_pool_load expands selected placement fields and copies the known eight-byte link through u32 views; persisted object fields do not establish a mapping for these gaps	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfMapObjectDefinition	unknown_01	0x1	0x1	u8	include/kf/game_map.h:264	retain_unresolved	none in 101 configured translation variants	GAME map_object_definitions_load	KF/COM/COM.DAT (complete chunk 5 payload; n=141; 00:140,ff:1); KF/COM/COM.DAT (complete loader source including next chunk bytes; n=160; 7 distinct byte patterns; 153 all-zero rows)	Extent between [KfMapObjectOperation behavior_type] and [u16 collision_radius] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	disc_resource	COM/COM.DAT chunk 5; 141 payload records of 8 bytes; loader extent is 160 records crossing the next chunk	GAME common_resources_load -> map_object_definitions_load copies 0x500 bytes through u32 word views, including this field; copied tail bytes are not authored definition rows	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfMapObjectDefinition	unknown_06	0x6	0x2	u8[2]	include/kf/game_map.h:267	retain_unresolved	none in 101 configured translation variants	GAME map_object_definitions_load	KF/COM/COM.DAT (complete chunk 5 payload; n=141; 0000:140,ffff:1); KF/COM/COM.DAT (complete loader source including next chunk bytes; n=160; 12 distinct byte patterns; 147 all-zero rows)	Extent between [u16 interaction_radius] and [} KfMapObjectDefinition] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	disc_resource	COM/COM.DAT chunk 5; 141 payload records of 8 bytes; loader extent is 160 records crossing the next chunk	GAME common_resources_load -> map_object_definitions_load copies 0x500 bytes through u32 word views, including this field; copied tail bytes are not authored definition rows	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfMapObjectPlacement	unknown_01	0x1	0x1	u8	include/kf/game_map.h:252	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	KF/B1/MIXA.DAT (active chunk 4 placement rows before sentinel/capacity; n=158; 00:156,03:1,ff:1); KF/B2/MIXA.DAT (active chunk 4 placement rows before sentinel/capacity; n=159; 00:159); KF/B3/MIXA.DAT (active chunk 4 placement rows before sentinel/capacity; n=147; 00:147); KF/B4/MIXA.DAT (active chunk 4 placement rows before sentinel/capacity; n=144; 00:144); KF/B5/MIXA.DAT (active chunk 4 placement rows before sentinel/capacity; n=43; 00:43)	Extent between [u8 object_id] and [u8 tile_z] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	disc_resource	GAME B1..B5/MIXA.DAT chunk 4; OPEN B0/MIXA0., MIXA3., MIXAE., MIXAF. placement chunks	GAME map_resources_load -> map_object_pool_load; OPEN scene resource loaders -> opening_entity_pool_load_placements; both expand selected fields from a cast resource pointer; this source byte has no established runtime destination	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfMapObjectState	unknown_25a8	0x25a8	0xa	u8[10]	include/kf/game_map.h:451	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	no independent serialized-field value census	Extent between [KfMapObject objects[KF_MAP_OBJECT_CAPACITY]] and [u16 effect_sequence_160] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source for this control-tail gap; separate definition/placement subobjects have resource inputs	GAME startup clears the complete 0x25b8-byte owner; map_object_pool_clear resets records and three known sequence controls, without establishing a semantic subdivision of +0x25a8..+0x25b2	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfNotificationSprite	unknown_01	0x1	0x1	u8	include/kf/notify.h:24	retain_unresolved	none in 101 configured translation variants	source declarations/consumers; curated owner/relocation audit only; no dedicated behavioral dossier	GAME.EXE:notification_sprites (retail initializer VA 0x80055d20; offsets relative to this datum; n=6; 00:6)	Extent between [KfSpriteState active] and [KfSpriteQuad sprite] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	executable_load_image	GAME notification_sprites initialized data table	Linked initializer provides this byte; notification rendering traverses rows and passes the nested sprite to render_enqueue_sprite; passing the nested sprite does not itself read the preceding unknown byte	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfOpeningEntity	unknown_01	0x1	0x1	u8	include/kf/open_resources.h:36	retain_unresolved	none in 101 configured translation variants	OPEN opening_entity_pool_reset;opening_entity_pool_load_placements;opening_entity_render	no independent serialized-field value census	Extent between [KfOpeningModelId object_id] and [u16 cell_x] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_expansion	No direct serialized-field mapping established for these gaps; enclosing entities expand B0 placement chunks	OPEN opening_entity_pool_load_placements writes selected fields; opening_entity_render passes the six-byte Euler rotation to matrix_set_rotation_yxz and the known scale to vector helpers; adjacent gaps need their own access evidence	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfOpeningEntity	unknown_06	0x6	0x2	u8[2]	include/kf/open_resources.h:39	retain_unresolved	none in 101 configured translation variants	OPEN opening_entity_pool_reset;opening_entity_pool_load_placements;opening_entity_render	no independent serialized-field value census	Extent between [u16 cell_z] and [VECTOR position] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_expansion	No direct serialized-field mapping established for these gaps; enclosing entities expand B0 placement chunks	OPEN opening_entity_pool_load_placements writes selected fields; opening_entity_render passes the six-byte Euler rotation to matrix_set_rotation_yxz and the known scale to vector helpers; adjacent gaps need their own access evidence	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfOpeningEntity	unknown_1e	0x1e	0x2	u16	include/kf/open_resources.h:42	retain_unresolved	none in 101 configured translation variants	OPEN opening_entity_pool_reset;opening_entity_pool_load_placements;opening_entity_render	no independent serialized-field value census	Adjacent Euler triple is only six bytes; adjacency does not independently establish an SDK SVECTOR owner or pad member.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_expansion	No direct serialized-field mapping established for these gaps; enclosing entities expand B0 placement chunks	OPEN opening_entity_pool_load_placements writes selected fields; opening_entity_render passes the six-byte Euler rotation to matrix_set_rotation_yxz and the known scale to vector helpers; adjacent gaps need their own access evidence	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfOpeningEntityState	unknown_500	0x500	0xa	u8[10]	include/kf/open_resources.h:48	retain_unresolved	none in 101 configured translation variants	OPEN opening_entity_pool_reset;opening_entity_pool_load_placements;opening_entity_render	no independent serialized-field value census	Extent between [KfOpeningEntity entities[KF_OPENING_ENTITY_CAPACITY]] and [u16 unknown_control_50a] has no supported semantic subdivision; alignment or adjacent known fields do not prove padding.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source established; this is the OPEN entity-pool owner	OPEN opening_run clears all 0x510 bytes; opening_entity_pool_reset separately clears the three tail controls at +0x50a/+0x50c/+0x50e	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfOpeningEntityState	unknown_control_50a	0x50a	0x2	u16	include/kf/open_resources.h:49	retain_unresolved	OPEN.EXE:opening_entity_pool_reset	OPEN opening_entity_pool_reset;opening_entity_pool_load_placements;opening_entity_render	no independent serialized-field value census	Individual zero store and whole-state clear are proven; same tail position as GAME sequence controls is only a cross-image candidate without an OPEN allocator reader.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source established; this is the OPEN entity-pool owner	OPEN opening_run clears all 0x510 bytes; opening_entity_pool_reset separately clears the three tail controls at +0x50a/+0x50c/+0x50e	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
KfOpeningEntityState	unknown_control_50c	0x50c	0x2	u16	include/kf/open_resources.h:50	retain_unresolved	OPEN.EXE:opening_entity_pool_reset	OPEN opening_entity_pool_reset;opening_entity_pool_load_placements;opening_entity_render	no independent serialized-field value census	Individual zero store and whole-state clear are proven; same tail position as GAME sequence controls is only a cross-image candidate without an OPEN allocator reader.	Recover behavioral or authoritative format ownership; indirect/base-plus-offset/GP coverage remains incomplete.	runtime_state	No standalone serialized source established; this is the OPEN entity-pool owner	OPEN opening_run clears all 0x510 bytes; opening_entity_pool_reset separately clears the three tail controls at +0x50a/+0x50c/+0x50e	Open: named-member census is not cast/arithmetic coverage; no field-specific closure of interior pointers, wide accesses, GP-relative references, indirect calls or unreconstructed consumers.
