# MANUALLY REVIEWED - project field declarations at dafd1048; AST extraction supplies coverage, not semantic verdicts.
declaration	record	field	datatype	verdict	finding	evidence	note
include/kf/game_effect.h:272	KfEffectRecord	scale_x	u16	numeric		include/kf/game_effect.h:272;src/game/effect_dispatch.c:270;src/game/effect_dispatch.c:274;src/game/effect_dispatch.c:285;src/game/effect_dispatch.c:296;src/game/effect_dispatch.c:326;src/game/effect_dispatch.c:328;src/game/effect_dispatch.c:436;src/game/effect_dispatch.c:438;src/game/effect_dispatch.c:458;src/game/effect_dispatch.c:598;src/game/effect_dispatch.c:720;src/game/effect_dispatch.c:769;src/game/effect_dispatch.c:772;src/game/effect_pool.c:67;src/game/effect_pool.c:189;src/game/effect_pool.c:203;src/game/effect_pool.c:238;src/game/effect_pool.c:286;src/game/effect_pool.c:308;src/game/effect_pool.c:374;src/game/effect_pool.c:390;src/game/effect_pool.c:403;src/game/entity_render.c:130	scale x; constructors default it to 0x1000 (1.0 fixed point)
include/kf/game_effect.h:273	KfEffectRecord	scale_y	u16	numeric		include/kf/game_effect.h:273;src/game/effect_dispatch.c:273;src/game/effect_dispatch.c:298;src/game/effect_dispatch.c:330;src/game/effect_dispatch.c:353;src/game/effect_dispatch.c:355;src/game/effect_dispatch.c:357;src/game/effect_dispatch.c:439;src/game/effect_dispatch.c:457;src/game/effect_dispatch.c:597;src/game/effect_dispatch.c:652;src/game/effect_dispatch.c:694;src/game/effect_dispatch.c:704;src/game/effect_dispatch.c:706;src/game/effect_dispatch.c:774;src/game/effect_pool.c:66;src/game/effect_pool.c:161;src/game/effect_pool.c:178;src/game/effect_pool.c:188;src/game/effect_pool.c:203;src/game/effect_pool.c:237;src/game/effect_pool.c:285;src/game/effect_pool.c:307;src/game/effect_pool.c:373;src/game/effect_pool.c:389;src/game/effect_pool.c:401;src/game/entity_render.c:131;src/game/player_warp.c:70;src/game/player_warp.c:88;src/game/player_warp.c:91	scale y; constructors default it to 0x1000; warp shimmer sweeps it as intensity
include/kf/game_effect.h:274	KfEffectRecord	scale_z	u16	numeric		include/kf/game_effect.h:274;src/game/effect_dispatch.c:272;src/game/effect_dispatch.c:295;src/game/effect_dispatch.c:329;src/game/effect_dispatch.c:356;src/game/effect_dispatch.c:380;src/game/effect_dispatch.c:381;src/game/effect_dispatch.c:382;src/game/effect_dispatch.c:439;src/game/effect_dispatch.c:457;src/game/effect_dispatch.c:597;src/game/effect_dispatch.c:773;src/game/effect_pool.c:65;src/game/effect_pool.c:187;src/game/effect_pool.c:203;src/game/effect_pool.c:236;src/game/effect_pool.c:284;src/game/effect_pool.c:306;src/game/effect_pool.c:402;src/game/entity_render.c:132	scale z; constructors default it to 0x1000
include/kf/game_effect.h:275	KfEffectRecord	unknown_2a	u16	unresolved		include/kf/game_effect.h:275	meaning unresolved
include/kf/game_effect.h:276	KfEffectRecord	direction	KfEffectDirection	aggregate		include/kf/game_effect.h:276;src/game/effect_dispatch.c:214;src/game/effect_dispatch.c:226;src/game/effect_dispatch.c:227;src/game/effect_dispatch.c:228;src/game/effect_dispatch.c:276;src/game/effect_dispatch.c:286;src/game/effect_dispatch.c:343;src/game/effect_dispatch.c:344;src/game/effect_dispatch.c:377;src/game/effect_dispatch.c:378;src/game/effect_dispatch.c:379;src/game/effect_dispatch.c:397;src/game/effect_dispatch.c:423;src/game/effect_dispatch.c:424;src/game/effect_dispatch.c:425;src/game/effect_dispatch.c:486;src/game/effect_dispatch.c:487;src/game/effect_dispatch.c:488;src/game/effect_dispatch.c:489;src/game/effect_dispatch.c:498;src/game/effect_dispatch.c:507;src/game/effect_dispatch.c:516;src/game/effect_dispatch.c:524;src/game/effect_dispatch.c:526;src/game/effect_dispatch.c:533;src/game/effect_dispatch.c:535;src/game/effect_dispatch.c:555;src/game/effect_dispatch.c:559;src/game/effect_dispatch.c:726;src/game/effect_dispatch.c:727;src/game/effect_dispatch.c:801;src/game/effect_dispatch.c:802;src/game/effect_dispatch.c:807;src/game/effect_dispatch.c:811;src/game/effect_dispatch.c:812;src/game/effect_dispatch.c:820;src/game/effect_dispatch.c:821;src/game/effect_dispatch.c:824;src/game/effect_dispatch.c:825;src/game/effect_dispatch.c:831;src/game/effect_dispatch.c:835;src/game/effect_dispatch.c:836;src/game/effect_pool.c:62;src/game/effect_pool.c:281;src/game/effect_pool.c:282;src/game/effect_pool.c:283;src/game/effect_pool.c:294;src/game/effect_pool.c:295;src/game/effect_pool.c:296;src/game/effect_pool.c:309;src/game/effect_pool.c:310;src/game/effect_pool.c:311;src/game/effect_pool.c:372;src/game/effect_pool.c:388;src/game/effect_pool.c:429;src/game/effect_pool.c:435;src/game/effect_pool.c:436;src/game/effect_update.c:81;src/game/effect_update.c:92;src/game/effect_update.c:95;src/game/effect_update.c:98;src/game/effect_update.c:100;src/game/effect_update.c:103;src/game/effect_update.c:128;src/game/effect_update.c:130;src/game/effect_update.c:132;src/game/effect_update.c:260;src/game/effect_update.c:265;src/game/effect_update.c:272;src/game/effect_update.c:282	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_effect.h:277	KfEffectRecord	animation_cache	struct KfPoolRecord *	pointer		include/kf/game_effect.h:277;src/game/entity_render.c:147	Address or pointer table; not a finite selector.
include/kf/game_effect.h:278	KfEffectRecord	control	KfEffectControl	aggregate		include/kf/game_effect.h:278;src/game/effect_dispatch.c:237;src/game/effect_dispatch.c:238;src/game/effect_dispatch.c:260;src/game/effect_dispatch.c:268;src/game/effect_dispatch.c:279;src/game/effect_dispatch.c:281;src/game/effect_dispatch.c:285;src/game/effect_dispatch.c:291;src/game/effect_dispatch.c:411;src/game/effect_dispatch.c:491;src/game/effect_dispatch.c:495;src/game/effect_dispatch.c:630;src/game/effect_dispatch.c:631;src/game/effect_dispatch.c:649;src/game/effect_dispatch.c:732;src/game/effect_dispatch.c:737;src/game/effect_pool.c:109;src/game/effect_pool.c:164;src/game/effect_pool.c:190;src/game/effect_pool.c:202;src/game/effect_pool.c:305;src/game/effect_pool.c:318;src/game/effect_pool.c:319;src/game/effect_pool.c:336;src/game/effect_pool.c:371;src/game/effect_pool.c:387;src/game/effect_update.c:129;src/game/effect_update.c:131;src/game/effect_update.c:133;src/game/effect_update.c:134	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_effect.h:279	KfEffectRecord	propagation	KfEffectPropagation	aggregate		include/kf/game_effect.h:279;src/game/effect_dispatch.c:269;src/game/effect_dispatch.c:275;src/game/effect_dispatch.c:278;src/game/effect_dispatch.c:285;src/game/effect_dispatch.c:632;src/game/effect_dispatch.c:654;src/game/effect_pool.c:165;src/game/effect_pool.c:167;src/game/effect_pool.c:201	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_effect.h:307	KfEffectState	magic	KfMagicTable	aggregate		include/kf/game_effect.h:307;src/game/effect_dispatch.c:374;src/game/effect_dispatch.c:585;src/game/effect_dispatch.c:609;src/game/effect_pool.c:71;src/game/effect_pool.c:112;src/game/effect_pool.c:132;src/game/effect_pool.c:322;src/game/effect_pool.c:346;src/game/effect_pool.c:358;src/game/effect_pool.c:377;src/game/effect_pool.c:393;src/game/effect_pool.c:445;src/game/magic.c:40;src/game/magic.c:43;src/game/map_scripts.c:173;src/game/map_scripts.c:174;src/game/map_scripts.c:175;src/game/map_scripts.c:274;src/game/map_scripts.c:275;src/game/map_scripts.c:281;src/game/map_scripts.c:282;src/game/map_scripts.c:420;src/game/menu_panels.c:47;src/game/menu_panels.c:141;src/game/menu_panels.c:143;src/game/menu_select.c:243;src/game/player_death.c:358;src/game/player_death.c:359;src/game/player_death.c:362;src/game/player_death.c:363;src/game/player_death.c:366;src/game/player_death.c:367;src/game/player_death.c:612;src/game/player_update.c:391;src/game/player_update.c:395;src/game/player_update.c:399;src/game/player_update.c:408;src/game/player_update.c:417;src/game/save_system.c:380;src/game/save_system.c:631	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_effect.h:308	KfEffectState	records	KfEffectRecord[48]	aggregate		include/kf/game_effect.h:308;src/game/actor.c:878;src/game/effect_dispatch.c:411;src/game/effect_pool.c:8;src/game/effect_pool.c:35;src/game/effect_update.c:261;src/game/magic.c:27;src/game/magic.c:173;src/game/map_object.c:509;src/game/map_object.c:518;src/game/map_object.c:523;src/game/map_object.c:539;src/game/map_object_pool.c:242;src/game/map_object_pool.c:259;src/game/map_object_pool.c:270;src/game/map_object_pool.c:278;src/game/player_use_item.c:142;src/game/render_scene.c:118	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_effect.h:309	KfEffectState	current_magic	KfMagicRecord *	pointer		include/kf/game_effect.h:309;src/game/effect_dispatch.c:118;src/game/effect_dispatch.c:158;src/game/effect_pool.c:10;src/game/effect_pool.c:445;src/game/effect_update.c:52;src/game/effect_update.c:123	Address or pointer table; not a finite selector.
include/kf/game_effect.h:310	KfEffectState	current_record	KfEffectRecord *	pointer		include/kf/game_effect.h:310;src/game/effect_dispatch.c:117;src/game/effect_map_collision.c:173;src/game/effect_pool.c:12;src/game/effect_pool.c:444;src/game/effect_update.c:51;src/game/effect_update.c:122	Address or pointer table; not a finite selector.
include/kf/game_effect.h:335	KfEffectBranchArguments	role	KfEffectGroundBranchRole	typed_enum		include/kf/game_effect.h:335	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_effect.h:336	KfEffectRotationArguments	rotation	const SVECTOR *	pointer		include/kf/game_effect.h:336	Address or pointer table; not a finite selector.
include/kf/game_effect.h:339	KfEffectRotationSoundArguments	rotation	const SVECTOR *	pointer		include/kf/game_effect.h:339	Address or pointer table; not a finite selector.
include/kf/game_effect.h:340	KfEffectRotationSoundArguments	sound	KfEffectSoundRequest	typed_enum		include/kf/game_effect.h:340	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_effect.h:344	KfEffectDurationSoundArguments	duration	s32	numeric		include/kf/game_effect.h:344	Count, coordinate, extent, interpolation quantity or resource-relative index.
include/kf/game_effect.h:345	KfEffectDurationSoundArguments	sound	KfEffectSoundRequest	typed_enum		include/kf/game_effect.h:345	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_effect.h:349	KfEffectScatterArguments	generations	s32	numeric		include/kf/game_effect.h:349	Count, coordinate, extent, interpolation quantity or resource-relative index.
include/kf/game_effect.h:350	KfEffectScatterArguments	duration	s32	numeric		include/kf/game_effect.h:350	Count, coordinate, extent, interpolation quantity or resource-relative index.
include/kf/game_effect.h:351	KfEffectScatterArguments	scale	s32	numeric		include/kf/game_effect.h:351	Count, coordinate, extent, interpolation quantity or resource-relative index.
include/kf/game_effect.h:353	KfEffectSoundArguments	sound	KfEffectSoundRequest	typed_enum		include/kf/game_effect.h:353	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_effect.h:356	KfEffectHomingArguments	rotation	const SVECTOR *	pointer		include/kf/game_effect.h:356	Address or pointer table; not a finite selector.
include/kf/game_effect.h:357	KfEffectHomingArguments	target	KfEffectHomingMode	typed_enum		include/kf/game_effect.h:357	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_effect.h:358	KfEffectHomingArguments	sound	KfEffectSoundRequest	typed_enum		include/kf/game_effect.h:358	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_effect.h:360	KfEffectParentArguments	parent_index	s32	numeric		include/kf/game_effect.h:360	Count, coordinate, extent, interpolation quantity or resource-relative index.
include/kf/game_equipment.h:55	KfArmorRecord	unknown_00	u16	unresolved		include/kf/game_equipment.h:55	meaning unresolved
include/kf/game_equipment.h:56	KfArmorRecord	cutting_defense	u16	numeric		include/kf/game_equipment.h:56;src/game/player_death.c:284;src/game/player_death.c:285;src/game/player_death.c:294;src/game/player_death.c:295;src/game/player_death.c:304;src/game/player_death.c:305;src/game/player_death.c:314;src/game/player_death.c:315;src/game/player_death.c:324;src/game/player_death.c:325	added twice to cutting_defense
include/kf/game_equipment.h:57	KfArmorRecord	striking_defense	u16	numeric		include/kf/game_equipment.h:57;src/game/player_death.c:286;src/game/player_death.c:296;src/game/player_death.c:306;src/game/player_death.c:316;src/game/player_death.c:326	added to striking_defense
include/kf/game_equipment.h:58	KfArmorRecord	piercing_defense	u16	numeric		include/kf/game_equipment.h:58;src/game/player_death.c:287;src/game/player_death.c:297;src/game/player_death.c:307;src/game/player_death.c:317;src/game/player_death.c:327	added to piercing_defense
include/kf/game_equipment.h:59	KfArmorRecord	poison_resistance	u16	numeric		include/kf/game_equipment.h:59;src/game/player_death.c:288;src/game/player_death.c:298;src/game/player_death.c:308;src/game/player_death.c:318;src/game/player_death.c:328	unsigned equipment contribution to player poison resistance
include/kf/game_equipment.h:60	KfArmorRecord	magic_defense	u16	numeric		include/kf/game_equipment.h:60;src/game/player_death.c:289;src/game/player_death.c:299;src/game/player_death.c:309;src/game/player_death.c:319;src/game/player_death.c:329	added to magic_defense
include/kf/game_equipment.h:61	KfArmorRecord	fire_defense	u16	numeric		include/kf/game_equipment.h:61;src/game/player_death.c:290;src/game/player_death.c:300;src/game/player_death.c:310;src/game/player_death.c:320;src/game/player_death.c:330	added to fire_defense
include/kf/game_equipment.h:62	KfArmorRecord	hp_regen_interval	u16	numeric		include/kf/game_equipment.h:62;src/game/player_update.c:553;src/game/player_update.c:554;src/game/player_update.c:563;src/game/player_update.c:564;src/game/player_update.c:573;src/game/player_update.c:574;src/game/player_update.c:583;src/game/player_update.c:584;src/game/player_update.c:593;src/game/player_update.c:594	nonzero: player_adjust_hp(1) every N frames of player_state.unknown_58
include/kf/game_equipment.h:63	KfArmorRecord	hp_drain_interval	u16	numeric		include/kf/game_equipment.h:63;src/game/player_update.c:557;src/game/player_update.c:558;src/game/player_update.c:567;src/game/player_update.c:568;src/game/player_update.c:577;src/game/player_update.c:578;src/game/player_update.c:587;src/game/player_update.c:588;src/game/player_update.c:597;src/game/player_update.c:598	nonzero: player_adjust_hp(-1) every N frames of player_state.unknown_58
include/kf/game_equipment.h:64	KfArmorRecord	unknown_12	u8[10]	unresolved		include/kf/game_equipment.h:64	meaning unresolved
include/kf/game_equipment.h:71	KfWeaponRecord	unknown_00	u8	unresolved		include/kf/game_equipment.h:71	meaning unresolved
include/kf/game_equipment.h:72	KfWeaponRecord	charge_rate	u8	numeric		include/kf/game_equipment.h:72;src/game/player_core.c:205	combined with physical power to advance POWER while the weapon is idle
include/kf/game_equipment.h:73	KfWeaponRecord	attack_components	u16[5]	numeric		include/kf/game_equipment.h:73;src/game/player_death.c:276;src/game/player_death.c:277;src/game/player_death.c:278;src/game/player_death.c:279;src/game/player_death.c:280	five outgoing damage components copied into player combat state
include/kf/game_equipment.h:74	KfWeaponRecord	hp_regen_interval	u16	numeric		include/kf/game_equipment.h:74;src/game/player_update.c:543;src/game/player_update.c:544	nonzero: player_adjust_hp(1) every N frames of player_state.unknown_58
include/kf/game_equipment.h:75	KfWeaponRecord	mp_regen_interval	u16	numeric		include/kf/game_equipment.h:75;src/game/player_update.c:547;src/game/player_update.c:548	nonzero: player_adjust_mp(1) every N frames of player_state.unknown_58
include/kf/game_equipment.h:76	KfWeaponRecord	projection_distance	u16	numeric		include/kf/game_equipment.h:76;src/game/geometry_render.c:61	unsigned distance supplied to SetGeomScreen
include/kf/game_equipment.h:77	KfWeaponRecord	attack_z_offset	u16	numeric		include/kf/game_equipment.h:77;src/game/player_core.c:171	local z component rotated into the weapon hit-test point
include/kf/game_equipment.h:78	KfWeaponRecord	unknown_14	u8[8]	unresolved		include/kf/game_equipment.h:78	meaning unresolved
include/kf/game_equipment.h:79	KfWeaponRecord	render_translation	struct KfVec3s	aggregate		include/kf/game_equipment.h:79;src/game/geometry_render.c:63;src/game/geometry_render.c:64;src/game/geometry_render.c:65;src/game/geometry_render.c:77	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_equipment.h:80	KfWeaponRecord	unknown_22	u16	unresolved		include/kf/game_equipment.h:80	unresolved halfword between translation and rotation
include/kf/game_equipment.h:81	KfWeaponRecord	render_rotation	SVECTOR	aggregate		include/kf/game_equipment.h:81;src/game/equipment.c:20;src/game/geometry_render.c:66	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_equipment.h:97	KfWeaponTable	entries	KfWeaponRecord[16]	aggregate		include/kf/game_equipment.h:97;src/game/equipment.c:18;src/game/player_core.c:118;src/game/player_death.c:275	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_equipment.h:98	KfWeaponTable	words	u32[176]	encoded_storage		include/kf/game_equipment.h:98;src/game/equipment.c:8;src/game/equipment.c:9	Packed/aligned copy or address view of an owning object; type semantic members separately.
include/kf/game_equipment.h:102	KfArmorTable	entries	KfArmorRecord[42]	aggregate		include/kf/game_equipment.h:102;src/game/player_core.c:78;src/game/player_core.c:84;src/game/player_core.c:90;src/game/player_core.c:96;src/game/player_core.c:102;src/game/player_death.c:283;src/game/player_death.c:293;src/game/player_death.c:303;src/game/player_death.c:313;src/game/player_death.c:323	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_equipment.h:103	KfArmorTable	words	u32[294]	encoded_storage		include/kf/game_equipment.h:103;src/game/equipment.c:28;src/game/equipment.c:29	Packed/aligned copy or address view of an owning object; type semantic members separately.
include/kf/game_graphics.h:14	KfGraphicsRuntimeGame	display_state	KfDisplayState	aggregate		include/kf/game_graphics.h:14;src/game/display_play_transition.c:43;src/game/display_play_transition.c:46;src/game/menu_config_panel.c:142;src/game/menu_config_panel.c:163;src/game/menu_config_panel.c:164;src/game/menu_config_panel.c:165;src/game/menu_config_panel.c:166;src/game/menu_config_panel.c:167;src/game/menu_config_panel.c:168;src/game/menu_config_panel.c:169;src/game/menu_config_panel.c:170;src/game/menu_draw_name_list.c:23;src/game/menu_draw_stats_header.c:21;src/game/menu_draw_status_details.c:35;src/game/menu_draw_window.c:21;src/game/menu_item_detail.c:77;src/game/menu_item_detail.c:140;src/game/menu_item_detail.c:141;src/game/menu_item_detail.c:148;src/game/menu_item_detail.c:149;src/game/menu_item_detail.c:167;src/game/menu_item_detail.c:170;src/game/menu_item_detail.c:171;src/game/menu_item_detail.c:172;src/game/menu_item_detail.c:173;src/game/menu_item_detail.c:176;src/game/menu_item_detail.c:177;src/game/menu_item_detail.c:178;src/game/menu_item_detail.c:179;src/game/menu_item_detail.c:182;src/game/menu_item_detail.c:183;src/game/menu_item_detail.c:184;src/game/menu_item_detail.c:185;src/game/menu_item_detail.c:188;src/game/menu_item_detail.c:189;src/game/menu_item_detail.c:190;src/game/menu_item_detail.c:191;src/game/menu_item_detail.c:192;src/game/menu_item_detail.c:193;src/game/menu_item_model_preview.c:55;src/game/menu_list_render.c:35;src/game/menu_map_viewer.c:44;src/game/menu_map_viewer.c:100;src/game/menu_map_viewer.c:101;src/game/menu_map_viewer.c:102;src/game/menu_map_viewer.c:103;src/game/menu_map_viewer.c:104;src/game/menu_map_viewer.c:105;src/game/menu_map_viewer.c:106;src/game/menu_map_viewer.c:107;src/game/menu_map_viewer.c:108;src/game/menu_map_viewer.c:109;src/game/menu_map_viewer.c:110;src/game/menu_map_viewer.c:111;src/game/menu_runtime.c:57;src/game/menu_runtime.c:123;src/game/menu_runtime.c:220;src/game/menu_runtime.c:221;src/game/menu_runtime.c:223;src/game/menu_runtime.c:224;src/game/menu_runtime.c:226;src/game/menu_runtime.c:227;src/game/menu_runtime.c:229;src/game/menu_runtime.c:230;src/game/menu_runtime.c:507;src/game/menu_runtime.c:508;src/game/menu_runtime.c:510;src/game/menu_runtime.c:511;src/game/menu_runtime.c:513;src/game/menu_runtime.c:514;src/game/menu_runtime.c:516;src/game/menu_runtime.c:517;src/game/menu_runtime.c:528;src/game/menu_runtime.c:529;src/game/menu_runtime.c:530;src/game/menu_runtime.c:531;src/game/menu_runtime.c:532;src/game/menu_runtime.c:533;src/game/menu_runtime.c:534;src/game/menu_runtime.c:535;src/game/menu_runtime.c:544;src/game/menu_runtime.c:545;src/game/menu_runtime.c:546;src/game/menu_runtime.c:562;src/game/menu_runtime.c:565;src/game/menu_runtime.c:652;src/game/notify_queue.c:205;src/game/render.c:98;src/game/render.c:105;src/game/render.c:107;src/game/render.c:111;src/game/render.c:113;src/game/render.c:114;src/game/render.c:116;src/game/render.c:195;src/game/render.c:197;src/game/render.c:198;src/game/render.c:200;src/game/render.c:201;src/game/render.c:203;src/game/render.c:269;src/game/render.c:270;src/game/render.c:271;src/game/render.c:272;src/game/render.c:273;src/game/render.c:274;src/game/render.c:285;src/game/render.c:286;src/game/render.c:287;src/game/render_enqueuers.c:49;src/game/render_enqueuers.c:51;src/game/render_enqueuers.c:52;src/game/render_enqueuers.c:72;src/game/render_enqueuers.c:85;src/game/render_enqueuers.c:88;src/game/render_enqueuers.c:89;src/game/render_enqueuers.c:104;src/game/render_enqueuers.c:117;src/game/render_enqueuers.c:119;src/game/render_enqueuers.c:120;src/game/render_enqueuers.c:135;src/game/render_enqueuers.c:148;src/game/render_enqueuers.c:151;src/game/render_enqueuers.c:152;src/game/render_enqueuers.c:170;src/game/render_enqueuers.c:183;src/game/render_enqueuers.c:185;src/game/render_enqueuers.c:186;src/game/render_enqueuers.c:207;src/game/render_enqueuers.c:220;src/game/render_enqueuers.c:223;src/game/render_enqueuers.c:224;src/game/render_enqueuers.c:249;src/game/render_enqueuers.c:262;src/game/render_enqueuers.c:264;src/game/render_enqueuers.c:265;src/game/render_enqueuers.c:281;src/game/render_enqueuers.c:294;src/game/render_enqueuers.c:297;src/game/render_enqueuers.c:298;src/game/render_enqueuers.c:320;src/game/render_enqueuers.c:333;src/game/render_enqueuers.c:335;src/game/render_enqueuers.c:336;src/game/render_enqueuers.c:350;src/game/render_enqueuers.c:363;src/game/render_enqueuers.c:366;src/game/render_enqueuers.c:367;src/game/render_enqueuers.c:385;src/game/render_enqueuers.c:398;src/game/render_enqueuers.c:400;src/game/render_enqueuers.c:401;src/game/render_enqueuers.c:416;src/game/render_enqueuers.c:429;src/game/render_enqueuers.c:432;src/game/render_enqueuers.c:433;src/game/render_enqueuers.c:449;src/game/render_enqueuers.c:504;src/game/render_enqueuers.c:506;src/game/render_enqueuers.c:507;src/game/render_enqueuers.c:526;src/game/render_enqueuers.c:539;src/game/render_enqueuers.c:542;src/game/render_enqueuers.c:543;src/game/render_enqueuers.c:566;src/game/render_enqueuers.c:579;src/game/render_enqueuers.c:581;src/game/render_enqueuers.c:582;src/game/render_enqueuers.c:600;src/game/render_enqueuers.c:613;src/game/render_enqueuers.c:616;src/game/render_enqueuers.c:617;src/game/render_enqueuers.c:637;src/game/render_enqueuers.c:704;src/game/render_enqueuers.c:706;src/game/render_enqueuers.c:707;src/game/render_enqueuers.c:708;src/game/render_enqueuers.c:731;src/game/render_enqueuers.c:748;src/game/render_enqueuers.c:750;src/game/render_enqueuers.c:751;src/game/render_enqueuers.c:752;src/game/render_enqueuers.c:772;src/game/render_enqueuers.c:819;src/game/render_enqueuers.c:820;src/game/render_enqueuers.c:821;src/game/render_enqueuers.c:844;src/game/render_sprite.c:15;src/game/render_sprite.c:16;src/game/render_sprite.c:17;src/game/render_sprite.c:34;src/game/save_system.c:753;src/game/save_system.c:812;src/game/save_system.c:815;src/game/save_system.c:816;src/game/save_system.c:820;src/game/save_system.c:828;src/game/save_system.c:829;src/game/save_system.c:831;src/game/sprite_add_ft4.c:9;src/game/sprite_add_ft4.c:11;src/game/sprite_add_ft4.c:35	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_graphics.h:15	KfGraphicsRuntimeGame	display_draw_environments	DRAWENV[2]	aggregate		include/kf/game_graphics.h:15;src/game/display_play_transition.c:39;src/game/display_play_transition.c:40;src/game/menu_runtime.c:544;src/game/render.c:108;src/game/render.c:109;src/game/render.c:110;src/game/render.c:121;src/game/render.c:122;src/game/render.c:158;src/game/render.c:164;src/game/render.c:169;src/game/render.c:170;src/game/render.c:171;src/game/render.c:172;src/game/render.c:173;src/game/render.c:174;src/game/render.c:175;src/game/render.c:176;src/game/render.c:177;src/game/render.c:285;src/game/save_system.c:817;src/game/save_system.c:818;src/game/save_system.c:819;src/game/save_system.c:842;src/game/save_system.c:843	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_graphics.h:16	KfGraphicsRuntimeGame	display_disp_environments	DISPENV[2]	aggregate		include/kf/game_graphics.h:16;src/game/menu_runtime.c:545;src/game/render.c:161;src/game/render.c:167;src/game/render.c:178;src/game/render.c:286	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_graphics.h:17	KfGraphicsRuntimeGame	unknown_20108	u8[8]	unresolved		include/kf/game_graphics.h:17	unresolved storage interval; no original array capacity or padding role claimed
include/kf/game_graphics.h:18	KfGraphicsRuntimeGame	tmd_state	KfTmdState	aggregate		include/kf/game_graphics.h:18;src/game/asset_registry.c:39;src/game/render.c:293;src/game/render.c:299;src/game/render.c:312;src/game/render.c:353;src/game/render.c:355;src/game/render.c:361;src/game/render.c:458;src/game/render_enqueuers.c:34;src/game/render_enqueuers.c:35;src/game/render_enqueuers.c:488;src/game/render_enqueuers.c:489;src/game/render_enqueuers.c:686;src/game/render_enqueuers.c:688	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_graphics.h:19	KfGraphicsRuntimeGame	unknown_registry_20134	u8[240]	unresolved		include/kf/game_graphics.h:19;src/game/asset_registry.c:18;src/game/asset_registry.c:29;src/game/asset_registry.c:37;src/game/map_scripts.c:532;src/game/pool.c:75	Current uses cast this byte extent to an asset-pointer table; declaration needs structural refinement, not an enum.
include/kf/game_graphics.h:20	KfGraphicsRuntimeGame	current_tmd_vertices	KfPackedSVector *	pointer		include/kf/game_graphics.h:20;src/game/pool.c:166;src/game/render.c:305;src/game/render.c:311;src/game/render.c:480;src/game/render.c:502;src/game/render.c:523	Address or pointer table; not a finite selector.
include/kf/game_graphics.h:21	KfGraphicsRuntimeGame	pool_records	KfPoolRecord[12]	aggregate		include/kf/game_graphics.h:21;src/game/pool.c:210;src/game/pool.c:223;src/game/pool.c:253;src/game/pool.c:272;src/game/pool.c:286	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_graphics.h:22	KfGraphicsRuntimeGame	unknown_projection_morph_20318	u8[16008]	unresolved		include/kf/game_graphics.h:22;src/game/pool.c:188;src/game/pool.c:192;src/game/pool.c:202;src/game/render.c:479;src/game/render.c:501;src/game/render.c:522;src/game/render_enqueuers.c:37;src/game/render_enqueuers.c:70;src/game/render_enqueuers.c:102;src/game/render_enqueuers.c:133;src/game/render_enqueuers.c:168;src/game/render_enqueuers.c:205;src/game/render_enqueuers.c:247;src/game/render_enqueuers.c:279;src/game/render_enqueuers.c:318;src/game/render_enqueuers.c:348;src/game/render_enqueuers.c:383;src/game/render_enqueuers.c:414;src/game/render_enqueuers.c:447;src/game/render_enqueuers.c:491;src/game/render_enqueuers.c:691	Current uses are projected vertices and morph scratch; declaration needs structural refinement, not an enum.
include/kf/game_graphics.h:23	KfGraphicsRuntimeGame	effect5_texture_pages	u16[3]	packed_gpu		include/kf/game_graphics.h:23;src/game/entity_model_render.c:65;src/game/render.c:136;src/game/render.c:139;src/game/render.c:142	GPU texture/color/address/coordinate encoding; numeric components and independent mode bits share storage.
